Date;Dernier
17/04/2025;2,256
11/04/2025;2,28
04/04/2025;2,32
28/03/2025;2,33
21/03/2025;2,39
14/03/2025;2,48
07/03/2025;2,53
28/02/2025;2,46
21/02/2025;2,52
14/02/2025;2,52
07/02/2025;2,53
31/01/2025;2,59
24/01/2025;2,64
17/01/2025;2,7
10/01/2025;2,77
03/01/2025;2,73
27/12/2024;2,68
20/12/2024;2,77
13/12/2024;2,84
06/12/2024;2,87
29/11/2024;2,93
22/11/2024;3,02
15/11/2024;3
08/11/2024;3,03
01/11/2024;3,09
25/10/2024;3,06
18/10/2024;3,2
11/10/2024;3,18
04/10/2024;3,25
27/09/2024;3,33
20/09/2024;3,44
13/09/2024;3,47
06/09/2024;3,47
30/08/2024;3,49
23/08/2024;3,53
16/08/2024;3,56
09/08/2024;3,56
02/08/2024;3,62
26/07/2024;3,66
19/07/2024;3,7
12/07/2024;3,66
05/07/2024;3,71
28/06/2024;3,71
21/06/2024;3,69
14/06/2024;3,72
07/06/2024;3,76
31/05/2024;3,79
24/05/2024;3,81
17/05/2024;3,83
10/05/2024;3,82
03/05/2024;3,83
26/04/2024;3,87
19/04/2024;3,89
12/04/2024;3,92
05/04/2024;3,89
28/03/2024;3,89
22/03/2024;3,9
15/03/2024;3,93
08/03/2024;3,94
01/03/2024;3,94
23/02/2024;3,93
16/02/2024;3,93
09/02/2024;3,89
02/02/2024;3,9
26/01/2024;3,89
19/01/2024;3,96
12/01/2024;3,93
05/01/2024;3,94
29/12/2023;3,91
22/12/2023;3,93
15/12/2023;3,92
08/12/2023;3,95
01/12/2023;3,96
24/11/2023;3,94
17/11/2023;3,98
10/11/2023;3,99
03/11/2023;3,96
27/10/2023;3,95
20/10/2023;3,97
13/10/2023;3,99
06/10/2023;3,98
29/09/2023;3,95
22/09/2023;3,96
15/09/2023;3,88
08/09/2023;3,8
01/09/2023;3,77
25/08/2023;3,79
18/08/2023;3,82
11/08/2023;3,78
04/08/2023;3,74
28/07/2023;3,73
21/07/2023;3,72
14/07/2023;3,66
07/07/2023;3,64
30/06/2023;3,58
23/06/2023;3,61
16/06/2023;3,57
09/06/2023;3,47
02/06/2023;3,49
26/05/2023;3,46
19/05/2023;3,42
12/05/2023;3,35
05/05/2023;3,28
28/04/2023;3,27
21/04/2023;3,26
14/04/2023;3,18
06/04/2023;3,08
31/03/2023;3,04
24/03/2023;3,03
17/03/2023;2,75
10/03/2023;2,98
03/03/2023;2,85
24/02/2023;2,7
17/02/2023;2,67
10/02/2023;2,62
03/02/2023;2,55
27/01/2023;2,49
20/01/2023;2,42
13/01/2023;2,33
06/01/2023;2,25
30/12/2022;2,13
23/12/2022;2,14
16/12/2022;2,05
09/12/2022;2,01
02/12/2022;1,98
25/11/2022;1,92
18/11/2022;1,82
11/11/2022;1,76
04/11/2022;1,73
28/10/2022;1,64
21/10/2022;1,54
14/10/2022;1,4
07/10/2022;1,29
30/09/2022;1,17
23/09/2022;1,15
16/09/2022;1,06
09/09/2022;0,93
02/09/2022;0,76
26/08/2022;0,54
19/08/2022;0,43
12/08/2022;0,33
05/08/2022;0,28
29/07/2022;0,23
22/07/2022;0,2
15/07/2022;0,07
08/07/2022;-0,09
01/07/2022;-0,18
24/06/2022;-0,22
17/06/2022;-0,17
10/06/2022;-0,3
03/06/2022;-0,33
27/05/2022;-0,37
20/05/2022;-0,35
13/05/2022;-0,4
06/05/2022;-0,43
29/04/2022;-0,43
22/04/2022;-0,43
14/04/2022;-0,45
